City parish,Total,Casal de direito sem filhos,Casal de facto sem filhos,Casal de direito com filhos,Casal de facto com filhos,nivel de escolaridade,year
Alcabideche,9832,3127,789,4400,1516,total,2021
São Domingos de Rana,13886,4223,1201,6148,2314,total,2021
União das freguesias de Carcavelos e Parede,10379,3648,1084,4191,1456,total,2021
União das freguesias de Cascais e Estoril,14196,5371,1322,5804,1699,total,2021
Ajuda,3001,1162,411,963,465,total,2021
Alcântara,2773,1034,426,904,409,total,2021
Alvalade,6638,2175,829,2658,976,total,2021
Areeiro,4345,1474,546,1772,553,total,2021
Arroios,6069,2093,1178,1952,846,total,2021
Avenidas Novas,4608,1567,612,1852,577,total,2021
Beato,2511,956,396,780,379,total,2021
Belém,3568,1319,335,1504,410,total,2021
Benfica,7519,3089,945,2532,953,total,2021
Campo de Ourique,4351,1511,620,1625,595,total,2021
Campolide,2836,998,438,1000,400,total,2021
Carnide,3760,1305,395,1517,543,total,2021
Estrela,3989,1310,557,1634,488,total,2021
Lumiar,10042,3209,1078,4466,1289,total,2021
Marvila,7300,2720,666,2722,1192,total,2021
Misericórdia,1728,640,317,549,222,total,2021
Olivais,6758,2539,680,2593,946,total,2021
Parque das Nações,4981,1447,477,2413,644,total,2021
Penha de França,5657,2001,1021,1737,898,total,2021
Santa Clara,4522,1233,544,1658,1087,total,2021
Santa Maria Maior,1603,577,315,505,206,total,2021
Santo António,2177,742,397,786,252,total,2021
São Domingos de Benfica,7341,2775,898,2838,830,total,2021
São Vicente,2721,1012,563,732,414,total,2021
Algueirão-Mem Martins,15519,4517,1598,6480,2924,total,2021
Casal de Cambra,3082,936,266,1303,577,total,2021
Colares,1821,651,184,710,276,total,2021
Rio de Mouro,11209,3144,1152,4726,2187,total,2021
União das freguesias de Agualva e Mira-Sintra,9062,3232,872,3370,1588,total,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",4319,1576,373,1773,597,total,2021
União das freguesias de Massamá e Monte Abraão,10751,3515,1055,4424,1757,total,2021
União das freguesias de Queluz e Belas,11313,3338,1259,4691,2025,total,2021
União das freguesias de São João das Lampas e Terrugem,4466,1498,439,1767,762,total,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",7122,2281,647,3143,1051,total,2021
União das freguesias do Cacém e São Marcos,8700,2300,975,3561,1864,total,2021
Costa da Caparica,2957,1131,439,921,466,total,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",10884,4697,1259,3415,1513,total,2021
União das freguesias de Caparica e Trafaria,5282,1824,565,1840,1053,total,2021
União das freguesias de Charneca de Caparica e Sobreda,12013,3944,1114,5219,1736,total,2021
União das freguesias de Laranjeiro e Feijó,8715,3141,906,3176,1492,total,2021
Alcabideche,3655,1860,241,1171,383,Ambos com escolaridade até ao ensino básico,2021
São Domingos de Rana,4810,2595,265,1509,441,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de Carcavelos e Parede,2033,1246,151,495,141,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de Cascais e Estoril,3334,1999,248,840,247,Ambos com escolaridade até ao ensino básico,2021
Ajuda,1252,691,99,292,170,Ambos com escolaridade até ao ensino básico,2021
Alcântara,860,499,79,194,88,Ambos com escolaridade até ao ensino básico,2021
Alvalade,1145,682,77,295,91,Ambos com escolaridade até ao ensino básico,2021
Areeiro,716,395,60,196,65,Ambos com escolaridade até ao ensino básico,2021
Arroios,1405,821,123,381,80,Ambos com escolaridade até ao ensino básico,2021
Avenidas Novas,649,378,40,170,61,Ambos com escolaridade até ao ensino básico,2021
Beato,1114,564,94,287,169,Ambos com escolaridade até ao ensino básico,2021
Belém,556,397,26,109,24,Ambos com escolaridade até ao ensino básico,2021
Benfica,2241,1401,105,519,216,Ambos com escolaridade até ao ensino básico,2021
Campo de Ourique,1037,580,81,257,119,Ambos com escolaridade até ao ensino básico,2021
Campolide,935,501,72,248,114,Ambos com escolaridade até ao ensino básico,2021
Carnide,1186,584,92,338,172,Ambos com escolaridade até ao ensino básico,2021
Estrela,714,414,69,164,67,Ambos com escolaridade até ao ensino básico,2021
Lumiar,1535,788,88,448,211,Ambos com escolaridade até ao ensino básico,2021
Marvila,4343,2100,266,1408,569,Ambos com escolaridade até ao ensino básico,2021
Misericórdia,527,290,57,134,46,Ambos com escolaridade até ao ensino básico,2021
Olivais,2521,1407,136,708,270,Ambos com escolaridade até ao ensino básico,2021
Parque das Nações,903,462,80,246,115,Ambos com escolaridade até ao ensino básico,2021
Penha de França,1884,1044,147,474,219,Ambos com escolaridade até ao ensino básico,2021
Santa Clara,2047,723,193,569,562,Ambos com escolaridade até ao ensino básico,2021
Santa Maria Maior,611,316,59,175,61,Ambos com escolaridade até ao ensino básico,2021
Santo António,373,222,31,95,25,Ambos com escolaridade até ao ensino básico,2021
São Domingos de Benfica,1186,781,59,261,85,Ambos com escolaridade até ao ensino básico,2021
São Vicente,889,517,79,182,111,Ambos com escolaridade até ao ensino básico,2021
Algueirão-Mem Martins,5494,2572,357,1826,739,Ambos com escolaridade até ao ensino básico,2021
Casal de Cambra,1395,661,64,469,201,Ambos com escolaridade até ao ensino básico,2021
Colares,662,349,51,195,67,Ambos com escolaridade até ao ensino básico,2021
Rio de Mouro,3928,1794,248,1313,573,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de Agualva e Mira-Sintra,4052,2121,240,1210,481,Ambos com escolaridade até ao ensino básico,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",2258,1219,135,686,218,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de Massamá e Monte Abraão,3397,1726,200,1065,406,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de Queluz e Belas,4074,1970,285,1291,528,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de São João das Lampas e Terrugem,1928,1048,141,558,181,Ambos com escolaridade até ao ensino básico,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",2219,1203,128,702,186,Ambos com escolaridade até ao ensino básico,2021
União das freguesias do Cacém e São Marcos,3194,1377,193,1117,507,Ambos com escolaridade até ao ensino básico,2021
Costa da Caparica,1025,566,105,246,108,Ambos com escolaridade até ao ensino básico,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",3847,2501,229,853,264,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de Caparica e Trafaria,2613,1217,190,733,473,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de Charneca de Caparica e Sobreda,3643,2182,210,991,260,Ambos com escolaridade até ao ensino básico,2021
União das freguesias de Laranjeiro e Feijó,3670,1948,261,968,493,Ambos com escolaridade até ao ensino básico,2021
Alcabideche,1448,358,125,624,341,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
São Domingos de Rana,2089,515,174,957,443,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de Carcavelos e Parede,1069,463,133,323,150,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de Cascais e Estoril,1502,534,159,563,246,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Ajuda,378,146,38,114,80,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Alcântara,259,103,32,74,50,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Alvalade,414,175,46,143,50,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Areeiro,309,127,40,109,33,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Arroios,531,197,84,163,87,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Avenidas Novas,219,89,33,63,34,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Beato,305,86,46,114,59,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Belém,240,117,22,72,29,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Benfica,755,340,82,234,99,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Campo de Ourique,360,154,46,99,61,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Campolide,312,101,43,119,49,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Carnide,277,111,35,86,45,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Estrela,284,113,40,85,46,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Lumiar,527,223,53,155,96,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Marvila,1020,239,86,471,224,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Misericórdia,156,61,26,41,28,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Olivais,809,276,67,332,134,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Parque das Nações,297,106,24,118,49,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Penha de França,732,233,89,260,150,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Santa Clara,520,118,64,180,158,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Santa Maria Maior,175,45,27,65,38,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Santo António,144,63,24,42,15,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
São Domingos de Benfica,514,246,42,160,66,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
São Vicente,330,110,43,112,65,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Algueirão-Mem Martins,3042,679,295,1317,751,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Casal de Cambra,589,110,53,279,147,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Colares,293,74,28,128,63,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Rio de Mouro,2187,491,212,940,544,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de Agualva e Mira-Sintra,1758,457,146,711,444,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",746,168,79,355,144,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de Massamá e Monte Abraão,1972,582,158,812,420,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de Queluz e Belas,2081,474,219,937,451,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de São João das Lampas e Terrugem,763,159,81,329,194,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",986,269,89,449,179,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias do Cacém e São Marcos,1898,333,177,880,508,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Costa da Caparica,430,149,64,145,72,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1581,657,144,514,266,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de Caparica e Trafaria,889,234,104,339,212,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de Charneca de Caparica e Sobreda,1627,499,135,720,273,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
União das freguesias de Laranjeiro e Feijó,1482,410,137,609,326,Um com escolaridade até ao ensino básico e outro com secundário ou pós-secundário,2021
Alcabideche,1160,207,113,624,216,Ambos com secundário ou pós-secundário,2021
São Domingos de Rana,1637,297,179,802,359,Ambos com secundário ou pós-secundário,2021
União das freguesias de Carcavelos e Parede,1112,313,120,480,199,Ambos com secundário ou pós-secundário,2021
União das freguesias de Cascais e Estoril,1521,448,183,626,264,Ambos com secundário ou pós-secundário,2021
Ajuda,243,57,39,107,40,Ambos com secundário ou pós-secundário,2021
Alcântara,237,52,42,103,40,Ambos com secundário ou pós-secundário,2021
Alvalade,364,120,41,150,53,Ambos com secundário ou pós-secundário,2021
Areeiro,256,91,35,99,31,Ambos com secundário ou pós-secundário,2021
Arroios,539,173,94,201,71,Ambos com secundário ou pós-secundário,2021
Avenidas Novas,245,73,44,95,33,Ambos com secundário ou pós-secundário,2021
Beato,251,58,58,96,39,Ambos com secundário ou pós-secundário,2021
Belém,201,64,22,87,28,Ambos com secundário ou pós-secundário,2021
Benfica,591,181,78,229,103,Ambos com secundário ou pós-secundário,2021
Campo de Ourique,342,105,66,122,49,Ambos com secundário ou pós-secundário,2021
Campolide,217,52,45,82,38,Ambos com secundário ou pós-secundário,2021
Carnide,233,58,30,98,47,Ambos com secundário ou pós-secundário,2021
Estrela,275,89,33,103,50,Ambos com secundário ou pós-secundário,2021
Lumiar,483,147,74,188,74,Ambos com secundário ou pós-secundário,2021
Marvila,562,95,72,248,147,Ambos com secundário ou pós-secundário,2021
Misericórdia,129,35,27,48,19,Ambos com secundário ou pós-secundário,2021
Olivais,578,128,65,266,119,Ambos com secundário ou pós-secundário,2021
Parque das Nações,265,74,39,104,48,Ambos com secundário ou pós-secundário,2021
Penha de França,589,159,104,216,110,Ambos com secundário ou pós-secundário,2021
Santa Clara,382,80,54,155,93,Ambos com secundário ou pós-secundário,2021
Santa Maria Maior,165,39,40,56,30,Ambos com secundário ou pós-secundário,2021
Santo António,152,50,31,49,22,Ambos com secundário ou pós-secundário,2021
São Domingos de Benfica,444,157,53,164,70,Ambos com secundário ou pós-secundário,2021
São Vicente,294,74,71,112,37,Ambos com secundário ou pós-secundário,2021
Algueirão-Mem Martins,2488,409,303,1174,602,Ambos com secundário ou pós-secundário,2021
Casal de Cambra,403,63,50,191,99,Ambos com secundário ou pós-secundário,2021
Colares,201,40,21,100,40,Ambos com secundário ou pós-secundário,2021
Rio de Mouro,1785,287,231,821,446,Ambos com secundário ou pós-secundário,2021
União das freguesias de Agualva e Mira-Sintra,1328,234,170,593,331,Ambos com secundário ou pós-secundário,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",445,62,64,227,92,Ambos com secundário ou pós-secundário,2021
União das freguesias de Massamá e Monte Abraão,1632,321,194,756,361,Ambos com secundário ou pós-secundário,2021
União das freguesias de Queluz e Belas,1639,271,225,739,404,Ambos com secundário ou pós-secundário,2021
União das freguesias de São João das Lampas e Terrugem,548,89,66,260,133,Ambos com secundário ou pós-secundário,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",849,180,87,396,186,Ambos com secundário ou pós-secundário,2021
União das freguesias do Cacém e São Marcos,1517,201,198,686,432,Ambos com secundário ou pós-secundário,2021
Costa da Caparica,331,85,50,126,70,Ambos com secundário ou pós-secundário,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1288,364,185,460,279,Ambos com secundário ou pós-secundário,2021
União das freguesias de Caparica e Trafaria,553,108,62,236,147,Ambos com secundário ou pós-secundário,2021
União das freguesias de Charneca de Caparica e Sobreda,1435,309,158,702,266,Ambos com secundário ou pós-secundário,2021
União das freguesias de Laranjeiro e Feijó,1108,245,139,478,246,Ambos com secundário ou pós-secundário,2021
Alcabideche,1244,216,129,665,234,Um com secundário ou pós-secundário e outro com superior,2021
São Domingos de Rana,2092,320,236,1070,466,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de Carcavelos e Parede,1931,492,254,830,355,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de Cascais e Estoril,2380,683,259,1065,373,Um com secundário ou pós-secundário e outro com superior,2021
Ajuda,347,82,89,127,49,Um com secundário ou pós-secundário e outro com superior,2021
Alcântara,355,93,71,129,62,Um com secundário ou pós-secundário e outro com superior,2021
Alvalade,1011,277,154,399,181,Um com secundário ou pós-secundário e outro com superior,2021
Areeiro,622,188,103,240,91,Um com secundário ou pós-secundário e outro com superior,2021
Arroios,940,229,254,290,167,Um com secundário ou pós-secundário e outro com superior,2021
Avenidas Novas,636,210,124,211,91,Um com secundário ou pós-secundário e outro com superior,2021
Beato,265,73,57,94,41,Um com secundário ou pós-secundário e outro com superior,2021
Belém,510,144,67,209,90,Um com secundário ou pós-secundário e outro com superior,2021
Benfica,1127,306,204,433,184,Um com secundário ou pós-secundário e outro com superior,2021
Campo de Ourique,615,180,125,211,99,Um com secundário ou pós-secundário e outro com superior,2021
Campolide,354,79,75,136,64,Um com secundário ou pós-secundário e outro com superior,2021
Carnide,458,116,53,208,81,Um com secundário ou pós-secundário e outro com superior,2021
Estrela,549,173,85,205,86,Um com secundário ou pós-secundário e outro com superior,2021
Lumiar,1454,423,176,659,196,Um com secundário ou pós-secundário e outro com superior,2021
Marvila,481,88,87,203,103,Um com secundário ou pós-secundário e outro com superior,2021
Misericórdia,254,59,70,82,43,Um com secundário ou pós-secundário e outro com superior,2021
Olivais,848,187,138,386,137,Um com secundário ou pós-secundário e outro com superior,2021
Parque das Nações,690,180,82,323,105,Um com secundário ou pós-secundário e outro com superior,2021
Penha de França,775,179,213,258,125,Um com secundário ou pós-secundário e outro com superior,2021
Santa Clara,443,106,61,191,85,Um com secundário ou pós-secundário e outro com superior,2021
Santa Maria Maior,184,47,63,56,18,Um com secundário ou pós-secundário e outro com superior,2021
Santo António,303,89,65,105,44,Um com secundário ou pós-secundário e outro com superior,2021
São Domingos de Benfica,1069,340,161,426,142,Um com secundário ou pós-secundário e outro com superior,2021
São Vicente,380,89,120,106,65,Um com secundário ou pós-secundário e outro com superior,2021
Algueirão-Mem Martins,2015,347,299,949,420,Um com secundário ou pós-secundário e outro com superior,2021
Casal de Cambra,347,48,51,181,67,Um com secundário ou pós-secundário e outro com superior,2021
Colares,245,55,36,105,49,Um com secundário ou pós-secundário e outro com superior,2021
Rio de Mouro,1482,227,226,730,299,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de Agualva e Mira-Sintra,894,182,159,395,158,Um com secundário ou pós-secundário e outro com superior,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",380,53,44,218,65,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de Massamá e Monte Abraão,1566,307,213,772,274,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de Queluz e Belas,1443,216,241,670,316,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de São João das Lampas e Terrugem,518,74,79,250,115,Um com secundário ou pós-secundário e outro com superior,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",1055,195,131,543,186,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias do Cacém e São Marcos,1004,159,193,423,229,Um com secundário ou pós-secundário e outro com superior,2021
Costa da Caparica,423,92,83,145,103,Um com secundário ou pós-secundário e outro com superior,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1471,352,285,546,288,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de Caparica e Trafaria,480,97,77,206,100,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de Charneca de Caparica e Sobreda,1960,317,260,1001,382,Um com secundário ou pós-secundário e outro com superior,2021
União das freguesias de Laranjeiro e Feijó,1056,197,165,483,211,Um com secundário ou pós-secundário e outro com superior,2021
Alcabideche,1803,309,137,1109,248,Ambos com ensino superior,2021
São Domingos de Rana,2528,316,282,1470,460,Ambos com ensino superior,2021
União das freguesias de Carcavelos e Parede,3594,832,359,1862,541,Ambos com ensino superior,2021
União das freguesias de Cascais e Estoril,4562,1257,394,2452,459,Ambos com ensino superior,2021
Ajuda,649,133,128,282,106,Ambos com ensino superior,2021
Alcântara,925,222,176,371,156,Ambos com ensino superior,2021
Alvalade,3384,752,482,1580,570,Ambos com ensino superior,2021
Areeiro,2224,557,285,1069,313,Ambos com ensino superior,2021
Arroios,2365,551,568,839,407,Ambos com ensino superior,2021
Avenidas Novas,2637,697,354,1246,340,Ambos com ensino superior,2021
Beato,481,133,123,162,63,Ambos com ensino superior,2021
Belém,1887,486,185,997,219,Ambos com ensino superior,2021
Benfica,2372,620,427,1004,321,Ambos com ensino superior,2021
Campo de Ourique,1821,401,281,889,250,Ambos com ensino superior,2021
Campolide,889,201,194,377,117,Ambos com ensino superior,2021
Carnide,1439,347,174,739,179,Ambos com ensino superior,2021
Estrela,2014,445,315,1024,230,Ambos com ensino superior,2021
Lumiar,5578,1372,641,2891,674,Ambos com ensino superior,2021
Marvila,655,114,138,292,111,Ambos com ensino superior,2021
Misericórdia,583,159,127,222,75,Ambos com ensino superior,2021
Olivais,1698,393,237,817,251,Ambos com ensino superior,2021
Parque das Nações,2632,517,239,1567,309,Ambos com ensino superior,2021
Penha de França,1409,273,425,467,244,Ambos com ensino superior,2021
Santa Clara,975,153,153,515,154,Ambos com ensino superior,2021
Santa Maria Maior,411,114,118,125,54,Ambos com ensino superior,2021
Santo António,1103,261,235,471,136,Ambos com ensino superior,2021
São Domingos de Benfica,3706,998,544,1722,442,Ambos com ensino superior,2021
São Vicente,697,174,222,189,112,Ambos com ensino superior,2021
Algueirão-Mem Martins,1678,284,256,885,253,Ambos com ensino superior,2021
Casal de Cambra,196,32,30,101,33,Ambos com ensino superior,2021
Colares,291,87,37,134,33,Ambos com ensino superior,2021
Rio de Mouro,1194,204,170,638,182,Ambos com ensino superior,2021
União das freguesias de Agualva e Mira-Sintra,578,99,116,275,88,Ambos com ensino superior,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",335,50,33,196,56,Ambos com ensino superior,2021
União das freguesias de Massamá e Monte Abraão,1556,347,233,782,194,Ambos com ensino superior,2021
União das freguesias de Queluz e Belas,1546,270,230,812,234,Ambos com ensino superior,2021
União das freguesias de São João das Lampas e Terrugem,457,80,49,251,77,Ambos com ensino superior,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",1608,298,173,894,243,Ambos com ensino superior,2021
União das freguesias do Cacém e São Marcos,697,134,158,286,119,Ambos com ensino superior,2021
Costa da Caparica,568,152,108,215,93,Ambos com ensino superior,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",2054,516,348,862,328,Ambos com ensino superior,2021
União das freguesias de Caparica e Trafaria,552,99,112,255,86,Ambos com ensino superior,2021
União das freguesias de Charneca de Caparica e Sobreda,2706,449,291,1515,451,Ambos com ensino superior,2021
União das freguesias de Laranjeiro e Feijó,953,187,149,469,148,Ambos com ensino superior,2021
